Processor,GPU,Method,Samples,Avg. Optimization Time [ms], Std. Dev. Time [ms]
Intel i9-13900K,NVIDIA RTX 3080,torchrl,8192,28.978863000869733,1.4435389575972075
Intel i9-13900K,NVIDIA RTX 3080,autorally,16384,0.499134,0.0497034
Intel i9-13900K,NVIDIA RTX 3080,MPPI-Generic,16384,0.627083,0.0474846
Intel i9-13900K,NVIDIA RTX 3080,torchrl,16384,29.97758316993711,1.6747772678590245
Intel i9-13900K,NVIDIA RTX 4090,MPPI-Generic,128,0.122728,0.0317635
Intel i9-13900K,NVIDIA RTX 4090,autorally,128,0.19786199999999998,0.0389471
Intel i9-13900K,NVIDIA RTX 4090,torchrl,128,24.47159695625308,1.6298511469288397
Intel i9-13900K,NVIDIA RTX 4090,MPPI-Generic,256,0.121906,0.028788799999999996
Intel i9-13900K,NVIDIA RTX 4090,autorally,256,0.19628199999999998,0.0291502
Intel i9-13900K,NVIDIA RTX 4090,torchrl,256,28.16628241539003,1.3286071505908943
Intel i9-13900K,NVIDIA RTX 4090,MPPI-Generic,512,0.12362100000000001,0.026492900000000003
Intel i9-13900K,NVIDIA RTX 4090,autorally,512,0.197492,0.0280592
Intel i9-13900K,NVIDIA RTX 4090,torchrl,512,28.22097349166869,1.6040338251575699
Intel i9-13900K,NVIDIA RTX 4090,MPPI-Generic,1024,0.13065,0.025213299999999998
Intel i9-13900K,NVIDIA RTX 4090,autorally,1024,0.20244600000000001,0.0246008
Intel i9-13900K,NVIDIA RTX 4090,torchrl,1024,28.136604309082045,1.5568105490144994
Intel i9-13900K,NVIDIA RTX 4090,MPPI-Generic,2048,0.146179,0.036207300000000005
Intel i9-13900K,NVIDIA RTX 4090,autorally,2048,0.213538,0.0345784
Intel i9-13900K,NVIDIA RTX 4090,torchrl,2048,28.20549726486209,1.3227437228828929
Intel i9-13900K,NVIDIA RTX 4090,MPPI-Generic,4096,0.169998,0.029523200000000003
Intel i9-13900K,NVIDIA RTX 4090,autorally,4096,0.22405999999999998,0.0283723
Intel i9-13900K,NVIDIA RTX 4090,torchrl,4096,28.245249509811412,1.5611573680214679
Intel i9-13900K,NVIDIA RTX 4090,MPPI-Generic,6144,0.20064400000000002,0.027676099999999995
Intel i9-13900K,NVIDIA RTX 4090,autorally,6144,0.232756,0.0321019
Intel i9-13900K,NVIDIA RTX 4090,torchrl,6144,28.35752892494204,1.5878008463703532
Intel i9-13900K,NVIDIA RTX 4090,MPPI-Generic,8192,0.23155799999999999,0.0295746
Intel i9-13900K,NVIDIA RTX 4090,autorally,8192,0.245015,0.0265846
Intel i9-13900K,NVIDIA RTX 4090,torchrl,8192,28.590681314468394,1.5073381499482703
Intel i9-13900K,NVIDIA RTX 4090,autorally,16384,0.338403,0.0326836
Intel i9-13900K,NVIDIA RTX 4090,MPPI-Generic,16384,0.38861799999999996,0.038214
Intel i9-13900K,NVIDIA RTX 4090,torchrl,16384,28.604603290557886,1.6274746154565112
Intel i9-13900K,N/A,ros2,128,0.39293,0.00953467
Intel i9-13900K,N/A,ros2,256,0.728985,0.0101121
Intel i9-13900K,N/A,ros2,512,1.41862,0.044525800000000004
Intel i9-13900K,N/A,ros2,1024,3.36427,0.0387111
Intel i9-13900K,N/A,ros2,2048,6.74155,0.054404999999999995
Intel i9-13900K,N/A,ros2,4096,13.9476,0.21484299999999998
Intel i9-13900K,N/A,ros2,6144,21.7392,0.188897
Intel i9-13900K,N/A,ros2,8192,29.9169,0.239302
